Sentence,Originality,Fluency,Elaboration,Emotion,Creativity,Attractiveness,Ngram,Lexical_Idea,Novelty,CLiN,Sum_TTCT_Metrics
عشقم، تمام زبانها ناقصند که بتوانند جمال تو را توصیف کنند. تو معجزه ای زنده ای که تنها میتوان با قلب حسش کرد.,2,2,3,2,2,2,25,9,0.11,0.45,7
از جان چه خبر گیری و از چشم چه پرسی آن بی تو پر از آتش و این بی تو پر آب است,2,2,3,3,3,3,9,6,0.12,0.27,7
عشق تو زیباترین لذتی هست که تا به حال تجربه کرده ام و دلتنگی تو بدترین دردی است که تا به حال از ان رنج برده ام خیلی دلم برات تنگ شده عشقم,1,2,3,2,2,2,29,13,0.02,0.44,6
لبخند زدی بهار با آن آمد یک باغ پر از نرگس و ریحان آمدای دست بلند آسمان در دستت من نام تو را خواندم و باران آمد,3,2,3,3,2,2,25,14,0.25,0.64,8
دَر دورتَرین فواصِل هَستی، نَزدیکتریٓن مخاطبِ من باش جانان,2,1,2,3,1,2,13,7,0.21,0.41,5
تلافی کن تمام نبودنت راوقتی تمام راه هابن بست بودمرا به خیابانی بی انتها مهمان کن,3,2,2,2,3,2,19,9,0.59,0.87,7
از رادیو دست میکشم موجی زیباتر از موهای تو نخواهم یافت,3,2,3,3,3,3,11,5,0.53,0.69,8
باید از عشق بسازم غزلی قابل توغزلی ناب و صمیمانه به وزن دل تو دلی از جنس بهار است که تقدیم تو باد سبز باشی و دلت خانه پاییز مباد,3,3,3,2,2,2,35,18,0.35,0.88,9
آرزویم این است که بهاری بشود روز و شبت که ببارد به تمام رخ تو بارش شادی و شعف و من از دور ببینم که پر از لبخند است : چشم و دنیا و دلت,2,2,3,3,2,2,29,14,0.15,0.58,7
عشق جمال جانان، دریای آتشین است گر عاشقی، بسوزی، زیرا که راه این است,3,2,3,2,2,2,19,7,0.37,0.63,8
تا عشق ترانه خوان چشمان غم است راه من و تو همیشه پر پیچ و خم است ای حسرت روزهای بی برگشتم صد بار که عاشقت شوم باز کم است,2,3,3,3,3,2,25,13,0.18,0.56,8
اندیشیدن به پایان هر چیزشیرینی حضورش را تلخ می کند بگذار پایان تو را غافل گیر کند درست مانند آغاز,2,1,2,1,2,2,17,8,0.31,0.56,5
دوست داشتن نم نم باران ست کم کم می آید و به درازا می کشد بارانى دوستت دارم,2,1,2,2,2,2,17,7,0.24,0.48,5
دریای قلبم طغیان میکند با امواج چشمات,3,2,2,2,2,2,7,5,0.52,0.64,7
دل به نگاه اولین، گشت شکارِ چشم تو زخمِ دگر چه میزنی، صیدِ به خون تپیده را؟,2,2,3,3,2,2,25,10,0.58,0.93,7
