Originality,Fluency,Elaboration,Creativity,Attractiveness,Emotion,Quality,Ngram,Novelty,Lexcial_idea,CLiN,Sum_TTCT_Metrics
2.0,1.6,2,1.4,1.2,1.4,0.74,11,0.018782990165401667,2,0.23,5.6
1.6,1.8,2,1.4,1.6,1.8,0.72,13,0.005233094212760943,4,0.28,5.4
2.4,1.8,1.6,2,2.2,1.6,0.73,9,0.008252960583542166,1,0.19,5.8
2.4,1.6,1.8,2.4,2,1.8,0.63,9,0.007327797671324442,1,0.19,5.8
1.4,1.2,1.4,1.4,1.2,1.4,0.64,11,0.010053682304948559,2,0.22,4
1.4,1.4,1.4,1.4,1.4,1.2,0.82,10,0.004533280975678624,7,0.24,4.2
1.4,1.8,2,1.8,1.4,1.8,0.75,11,0.008717371499659458,4,0.26,5.2
1.8,1.2,2,2.2,1.4,1.4,0.73,10,0.03569812736216394,3,0.26,5
1.6,1.6,2.2,1.8,1.2,1.8,0.76,10,0.005584988586320411,3,0.21,5.8
1.6,1.4,2.4,2,1.2,1.8,0.72,14,0.005849845759494858,6,0.34,5.6
1.6,1.6,2.2,1.8,1.4,1.6,0.84,11,0.0028984137561886914,4,0.23,5.4
1.8,1.4,1.2,1.2,1.4,2,0.75,11,0.008414413212900825,1,0.21,4.4
1.2,1,1.6,1.6,1,1.6,0.78,10,0.009511891838161585,3,0.23,3.8
2.6,2.4,2.4,1.8,2,1.6,0.64,15,0.04680819856723046,5,0.37,7.4
2.2,2,1.8,1.8,1.8,1.6,0.55,11,0.008829544252876631,5,0.29,6
1.4,1.4,1.8,1.4,1.2,1.4,0.74,11,0.0026142515896688937,5,0.24,4.6
2.2,1.8,2.2,1.4,1.6,1.6,0.76,11,0.017879375521173926,1,0.22,5.4
2.2,1.8,2.4,2,2.2,2,0.63,12,0.011413449465613436,5,0.31,6.4
2.2,1.2,2,1.4,1.6,1.2,0.69,11,0.013181597920775764,1,0.21,5.4
2.8,2,2.8,1.6,1.8,2,0.77,14,0.009201068898211952,7,0.33,7.6
2.2,2,2.2,1.6,1.8,1.8,0.85,10,0.020864899251714634,4,0.23,6.4
2.0,1.4,1.6,1.2,1.8,1.4,0.87,11,0.013639749598452924,2,0.22,5
2.0,1.8,2,2,1.8,2,0.83,13,0.02118277614534845,4,0.31,5.8
2.0,1.6,1.4,2,1.8,1.4,0.72,10,0.02431106869257797,2,0.21,5
1.4,1.2,1.2,1,1.4,1.2,0.67,9,0.006736041699419264,2,0.18,3.8
1.6,1.6,1.6,1.2,1.2,1.4,0.88,9,0.014616021226295494,3,0.21,4.8
1.8,1.4,1.4,1.4,1.6,1.6,0.77,10,0.0071858268112414535,2,0.2,4.6
1.6,1.2,1,1.2,1.4,1,0.64,9,0.007430366309218962,3,0.19,3.8
1.8,1.8,2.2,1.8,1.2,1.6,0.74,13,0.005728550285026166,3,0.27,5.8
2.6,2.2,2.6,2.2,1.8,2.4,0.82,11,0.008934727638285215,3,0.25,7.4
2.6,1,2,2.2,2.4,2,0.7,9,0.04487196371282396,1,0.2,5.6
2.8,2.2,2.6,2.4,2,2.2,0.69,14,0.022887413884274097,4,0.33,7.6
1.6,1.8,2.4,1.8,1.4,1.6,0.71,11,0.009490140710355796,7,0.29,5.8
2.4,1.4,1.6,1.6,1.2,1.4,0.67,10,0.07948900425037868,3,0.28,5.4
2.2,1.4,1.8,1.8,1.6,1.8,0.68,11,0.05039439885863091,2,0.28,5.4
2.2,1.8,2,1.8,1.4,2.4,0.75,12,0.02968550067890046,4,0.28,6
2.2,1.6,2.6,2,1.4,2.2,0.72,14,0.022426573505908296,5,0.38,6.4
1.4,1.8,2.6,1.2,1.2,2,0.71,13,0.010528312908143392,3,0.27,5.8
1.8,1.8,1.6,1.2,1.2,1.2,0.79,12,0.009010867506343091,2,0.26,5.2
1.6,1.4,2.8,1,1.2,2,0.8,12,0.006826440188651235,5,0.27,5.8
1.8,1.2,2.6,1.6,1.4,2.2,0.84,11,0.002865525777876928,4,0.25,5.6
2.4,2,2,1.6,1.2,1.8,0.76,12,0.011894769454287829,5,0.29,6.6
2.6,1.6,2.6,1.6,1.8,1.4,0.85,12,0.03171770941934957,3,0.27,6.6
2.4,2,2.2,1.6,2.2,1.4,0.69,15,0.012030621490874369,6,0.36,6.6
2.8,1.6,2.2,2.4,2.2,2,0.71,10,0.01000618158244074,2,0.22,6.6
1.8,1.6,1.4,1.6,1.2,1.2,0.69,11,0.007062187757214474,3,0.23,4.8
2.6,2,2.2,2,2,2.2,0.67,10,0.00446363714431331,4,0.23,6.8
2.0,1.4,1.6,1.6,1.4,1.6,0.78,11,0.014082774945746595,3,0.23,5
2.6,1.8,2,1.6,1.6,1.8,0.74,11,0.011009687821675745,4,0.26,6.4
2.0,1.6,2.6,1.2,1.2,2.2,0.73,13,0.009288121745917362,2,0.26,6.2
2.6,1.8,2,2.2,1.4,1,0.59,14,0.18700095771447942,3,0.49,6.2
2.2,1.6,2.4,1.8,1.6,1.6,0.85,13,0.016333924001540278,2,0.27,6.8
